asw,s,d,f,g,h,j,k,l
3-5年,大专,深圳,南山区,南油,9,13K,中科软,Kafka.Flink.Spark.大数据开发经验
5-10年,本科,深圳,南山区,科技园,25,50K·16薪,启工数据,SQL.计算机相关专业.大数据开发经验.MySQL.Oracle.postgresql
,本科,深圳,福田区,梅林,200,250元/天,货拉拉科技,计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,深圳,福田区,梅林,17,29K,诚迈科技,计算机相关专业.大数据开发经验
经验不限,本科,深圳,南山区,西丽,20,40K·15薪,企知道,Python.Hive.大数据开发经验
1-3年,本科,深圳,福田区,新洲,15,25K·17薪,乐目通讯,SQL.Java.Scala.HIVE.Hadoop.Spark.Flink.数仓
5-10年,本科,深圳,南山区,前海,30,50K,OPPO,Hadoop.Spark.Storm.HDFS.大数据开发.Oracle.Mysql.统招一本
3-5年,本科,深圳,南山区,深圳湾,14,16K,亿达信息,Java.Hadoop.Spark.MapReduce.Kafka.Yarn.HIVE.Kylin
5-10年,本科,深圳,坪山区,坪山,30,40K·16薪,比亚迪汽车工业,Flink.Java.Spark.MySQL.HBASE.供应链
3-5年,本科,深圳,福田区,新洲,25,50K,中信银行信用卡中心,Python.Shell.Scala.Spark.Hadoop.Kafka.Flume.Flink
3-5年,本科,深圳,南山区,科技园,20,40K·15薪,SenseTime,Python.Shell.Spark.SQL.HIVE
10年以上,本科,深圳,南山区,科技园,25,35K,先创数字技术有限公司,Spark.ETL开发经验.大数据开发经验
3-5年,本科,深圳,南山区,科技园,18,30K,顺丰速运,JVM.HIVE.Shell.大数据开发经验.Hadoop.大数据开发.Kafka.架构设计.Spark.计算机相关专业
5-10年,大专,深圳,南山区,西丽,18,23K,顶尖传诚科技有限公司,SQL.Python.Spark.Hbase
3-5年,本科,深圳,南山区,科技园,15,30K·14薪,小赢科技,Java.Spark.Flink.数学/统计相关专业.实时.建模.集群
3-5年,本科,深圳,南山区,深圳湾,20,40K·15薪,大翅鲸,Java.Scala.Spark.Flume.Kafka.Hadoop.Presto.Flink
5-10年,本科,深圳,南山区,科技园,30,60K·16薪,腾讯,Python.SQL.Scala.Spark.Kafka.Flink
1-3年,本科,深圳,南山区,西丽,16,25K·14薪,中泓在线,Spark.Python
5-10年,本科,深圳,福田区,梅林,40,70K,云基智慧,Spark.Flink.Hive
3-5年,硕士,深圳,南山区,科技园,40,70K,字节跳动,Java.Python.Scala.Spark.Hadoop.Flink.Linux.Hive
经验不限,本科,深圳,龙岗区,坂田,20,25K·14薪,华为,Java.Spark.Flink.计算机相关专业.大数据开发经验.数仓建设经验.数据湖
经验不限,本科,深圳,南山区,科技园,30,60K·15薪,今日头条,Java.Spark.Hadoop.Kafka.Flume.Hbase
1-3年,本科,深圳,龙岗区,坂田,20,30K·14薪,华为,Java.大数据开发经验.elasticsearch.ETL开发经验.clickhouse.Spark.Flink.hbase
5-10年,本科,深圳,南山区,科技园,20,30K,SUTPC,SQL.HIVE
5-10年,本科,深圳,龙岗区,坂田,15,30K·16薪,华为,Python.SQL.Spark.大数据开发经验.数仓建设经验.ETL开发经验
5-10年,本科,深圳,南山区,科技园,15,30K·13薪,联影数据,SQL.Spark.Flink
3-5年,学历不限,深圳,南山区,科技园,15,20K,云之讯,Java.Kafka.Hadoop.Flume.Flink.Zookeeper.MapReduce.Yarn
1-3年,本科,深圳,南山区,科技园,20,40K·15薪,奇瑞汽车,数据分析.DBA.数据库
1-3年,本科,深圳,龙岗区,坂田,15,30K·14薪,华为,Flink.Spark.Java.K8S
1-3年,本科,深圳,南山区,科技园,18,30K,睿服科技,Python.Java.Spark.Hadoop.Storm.Hbase.Streaming.Flink
5-10年,本科,深圳,福田区,福田保税区,12,18K,天阳科技,Python.Spark.大数据.Hadoop.Flink.HIVE.Flume.Java
1-3年,本科,深圳,龙岗区,坂田,9,14K,软通动力,Java.SQL.Hive.计算机相关专业.大数据开发经验.银行
,本科,深圳,宝安区,福永,200,300元/天,跨越速运,Flink.Spark.Hive.大数据开发经验
经验不限,本科,深圳,龙岗区,坂田,25,50K·16薪,华为云计算,Scala.Storm.Kafka.Hadoop.Streaming.Flink
3-5年,本科,深圳,南山区,科技园,25,50K·15薪,腾讯,Java.Python.计算机相关专业
3-5年,本科,深圳,南山区,科技园,20,40K·15薪,Shopee,数据开发.Python.Scala.Go.Elasticsearch.分布式技术.数据结构.Spark
3-5年,本科,深圳,龙岗区,坂田,12,18K,中软国际,Python.Java.Scala.Spark.Hadoop.HIVE.Hbase.Presto
3-5年,本科,深圳,南山区,科技园,25,50K,顺丰科技,SQL.Hive.Spark.存储过程.性能调优
经验不限,学历不限,深圳,福田区,梅林,30,50K,vivo,SQL.Python.Shell.Spark.HIVE.uplift
3-5年,本科,深圳,南山区,科技园,15,30K,微众银行,Kylin.Kafka
10年以上,本科,深圳,南山区,海岸城,90,120K·16薪,腾讯,数据仓库.ETL.数据分析.Java.Python.Shell.Scala.分布式技术
1-3年,本科,深圳,南山区,华侨城,20,35K,华盛通,Python.Hadoop.java
3-5年,本科,深圳,南山区,西丽,20,35K,SHEIN,hudi.Flink
5-10年,本科,深圳,福田区,赤尾,18,19K,中科软,SQL.Spark.Kafka.MapReduce.Flink
经验不限,本科,深圳,南山区,科技园,30,60K·16薪,腾讯,Scala.HIVE.Spark.Kafka.Hbase.Oozie.Azkaban.Flink
5-10年,硕士,深圳,坪山区,坪山,18,35K,比亚迪汽车工业,Java.Spark.Presto.Impala
,本科,深圳,福田区,梅林,200,250元/天,货拉拉科技,Java.Python.SQL.大数据开发经验.数仓建设经验
5-10年,本科,深圳,龙华区,龙华,40,60K·16薪,银盛支付,计算机相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,12,18K·13薪,亿达信息,Java.Flink.计算机相关专业.大数据开发经验
3-5年,本科,深圳,南山区,科技园,16,23K,乐目通讯,数仓建设经验.Kafka.HDFS.计算机相关专业.Flink.Yarn.SQL.Hive.大数据开发经验.java.Spark.hadoop.Hbase
1-3年,本科,深圳,南山区,西丽,20,40K·15薪,企知道,SQL.分布式技术.Hadoop.Spark.HIVE.Hbase.Sqoop.大数据
5-10年,本科,深圳,南山区,科技园,20,40K·15薪,顺丰速运,Java.大数据开发经验.Scala.Spark.SQL
1-3年,本科,深圳,南山区,科技园,24,35K·16薪,腾讯科技(北京)公司.txt,数据开发.数据仓库.Scala.Elasticsearch.Java.HBase.Flink.大数据
5-10年,本科,深圳,南山区,前海,25,45K,OPPO,Python.Informatica.HIVE.Spark.Kafka.Hbase.Yarn
5-10年,学历不限,深圳,南山区,科技园,20,40K·15薪,今日头条,Spark.Hadoop.Kafka.HIVE.Flink.Java.SQL.Python
1-3年,本科,深圳,龙岗区,坂田,15,30K,华为技术有限公司,数仓建设经验.Java.HIVE.Hive.DataX.大数据开发经验.ETL开发经验.Scala.Hadoop.Spark.SQL.Python
5-10年,大专,深圳,宝安区,福永,30,40K·13薪,跨越速运,Java.Python.分布式技术.数据结构.Hadoop.Spark.Hbase.scala
3-5年,本科,深圳,龙岗区,坂田,11,20K,软通动力,Java.Spark.HIVE.Hadoop.Flink
1-3年,本科,深圳,,,25,50K·15薪,Shopee,Spark.Hive.Python.大数据开发经验.ETL开发经验.数仓建设经验
经验不限,本科,深圳,龙岗区,坂田,15,30K,华为云计算,Shell.Scala.Hadoop.Flink
1-3年,本科,深圳,南山区,科技园,15,25K·14薪,腾讯,Java.Spark.Flink.HIVE.Hadoop.Hbase.SQL
5-10年,本科,深圳,福田区,上步,16,20K,天阳科技,Python.Java.Scala.Spark.Hadoop
5-10年,本科,深圳,宝安区,宝安中心区,60,90K·15薪,vivo,SQL.Hive.计算机相关专业.Hadoop.数据治理
5-10年,本科,深圳,南山区,科技园,20,35K·15薪,顺丰科技,Spark.Hadoop.Flink.Druid
5-10年,本科,上海,闵行区,七宝,15,25K,潮析数据,SQL.Python.Java.Spark.MapReduce.Flink.Hadoop
1-3年,大专,上海,浦东新区,迪士尼,10,15K,彦冕信息科技,销售支持/交付管理.计算机相关专业.大数据项目管理经验.实施交付经验
3-5年,本科,上海,虹口区,四川北路,25,35K,甜橙金融,数据仓库.Hive.Spark.SparkStreaming
3-5年,本科,上海,徐汇区,上海南站,11,20K,哈步数据,Java.Spark.Hive.计算机相关专业.大数据开发经验
经验不限,学历不限,上海,浦东新区,张江,20,30K,久旭塑料包装,ETL.数据处理.Spark
1-3年,本科,上海,浦东新区,曹路,10,14K,上海商云电子商务...,Java.用户画像
3-5年,本科,上海,黄浦区,人民广场,8,13K,济南羽书教育科技,Java.Kafka.Flink
5-10年,学历不限,上海,长宁区,北新泾,30,40K·13薪,伊顿,SQL.Hive.Kettle.计算机相关专业.数仓建设经验.ETL开发经验
3-5年,本科,上海,浦东新区,张江,15,30K·14薪,盛大天地,Python.Linux
3-5年,本科,上海,浦东新区,联洋,13,18K,至恒融兴,Kettle.Spark.Hadoop.HDFS.Flink
1-3年,本科,上海,青浦区,国家会展中心,11,20K,鑫璨教育,计算机相关专业.Shell.SQL.金融
经验不限,本科,上海,虹口区,四川北路,120,150元/时,锐格软件,数据挖掘.大数据.数据开发.数据架构师.Python.架构师.人工智能.云计算
3-5年,本科,上海,浦东新区,张江,20,40K·14薪,优司服,Java.Spark.Hbase.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,上海,静安区,南京西路,18,30K·13薪,谷武0,Spark.Flink.计算机相关专业.大数据开发经验
3-5年,本科,上海,浦东新区,金桥,15,22K,新致软件,Java.SQL.Flink.计算机相关专业.大数据开发经验.数仓建设经验.搜索推荐.实时/离线业务.数据接口
在校/应届,硕士,上海,浦东新区,曹路,15,20K,兴业数金,Hive.Hbase.Hadoop
5-10年,本科,上海,浦东新区,机场镇,25,50K·16薪,中免日上互联科技...,Java.Python.SQL.计算机相关专业.大数据开发经验.ETL开发经验
经验不限,本科,上海,浦东新区,金桥,15,30K·15薪,华为,Java.Python.SQL.Scala.HIVE.Spark.MapReduce.Yarn
5-10年,本科,上海,青浦区,徐泾,30,60K·16薪,网易游戏,Scala.Spark.Hadoop.Kafka.Flink.Storm.HDFS.Flume
3-5年,本科,上海,浦东新区,航头,25,50K,传智教育,Spark.Shell.Python.大数据开发经验.数仓建设经验
3-5年,本科,上海,浦东新区,张江,20,40K·16薪,传音控股,Python.Java.Scala.大数据开发经验.计算机相关专业.数学/统计相关专业
5-10年,本科,上海,浦东新区,张江,30,60K,阿里集团,Java.Kafka.Flink.Zookeeper.Hadoop.HIVE.Hbase.Spark
1-3年,本科,上海,普陀区,长寿路,15,20K,鸿毛壹,数据开发.数据仓库.ETL.数据采集
5-10年,本科,上海,普陀区,长征,30,50K·16薪,饿了么,分布式技术.Spark.数据开发.数据架构师.Scala.Kafka.Hbase.Streaming
3-5年,本科,上海,闵行区,南方商城,12,15K,上海顶简软件科技...,Java.Spark.Flink.Hadoop
3-5年,本科,上海,浦东新区,金桥,14,20K,重庆新致金服,Hive.Spark.Hbase.计算机相关专业
3-5年,本科,上海,虹口区,北外滩,20,22K·13薪,创略科技,Scala.Spark.Hadoop.Hbase.Streaming
1-3年,本科,上海,浦东新区,张江,17,25K·13薪,风向标智能科技,SQL.Scala.Spark.Hadoop.Kafka.HIVE.Presto.Streaming
5-10年,本科,上海,浦东新区,张江,25,40K·15薪,喜马拉雅,Spark.Hive.Java.大数据开发经验.数仓建设经验
3-5年,本科,上海,普陀区,长风,25,40K·13薪,托旺数据,Java.ETL开发经验.大数据开发经验.数仓建设经验
3-5年,本科,上海,闵行区,东兰路,12,24K,信碾软件,Scala.Hadoop.Flink.Kafka.HIVE.Hbase.HDFS
3-5年,本科,上海,浦东新区,金桥,18,35K·13薪,中移上海产业研究院,Linux.数据库开发.系统运维
1-3年,本科,上海,徐汇区,徐家汇,14,15K,韶怀,Hive.Spark.Hbase.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,上海,徐汇区,漕河泾,15,30K,眼控科技,Python.Shell.Scala.Spark.Hadoop.Kafka.Storm.Kylin
3-5年,本科,上海,杨浦区,五角场,20,30K,视若飞,Python.Java.Shell.Scala.Spark.Kafka.HDFS.Zookeeper
1-3年,本科,上海,黄浦区,新天地,18,25K,上海剑宝信息技术,数据仓库.ETL.数据挖掘.数据分析.SQL.Java.Python.Scala
3-5年,本科,上海,宝山区,杨行,20,40K,万位数字,SQL.Spark.Flink
5-10年,本科,上海,徐汇区,漕河泾,20,30K,乾升智能公司,数据分析.数据挖掘.Hadoop
经验不限,硕士,上海,浦东新区,金桥,18,25K,达华科技,数据仓库.数据挖掘.数据分析
经验不限,本科,上海,浦东新区,康桥,5,6K,舱数智造,大数据开发经验.数仓建设经验
1-3年,本科,上海,浦东新区,张江,20,30K,豆子网络,Java.Python.计算机相关专业
5-10年,大专,上海,浦东新区,金桥,21,35K,葫芦岛市龙港区嘉...,大数据开发经验
1-3年,本科,上海,徐汇区,漕河泾,10,15K,意视科技,Flink.Java.Azure.AWS
3-5年,本科,上海,青浦区,华新,25,35K,圆通速递,数据分析.数据处理.数据挖掘
3-5年,大专,上海,浦东新区,陆家嘴,14,22K,博彦科技,Hive.Kafka.Flink.计算机相关专业.大数据开发经验.ETL开发经验
经验不限,本科,上海,浦东新区,唐镇,12,24K·13薪,上海西樵软件,Spark.Hadoop.hive
经验不限,本科,上海,杨浦区,五角场,30,60K·15薪,字节跳动,SQL.Spark.Hadoop
5-10年,本科,上海,,,15,26K·14薪,北京伯凯科技有限公司,Hive.Spark.Flink.计算机相关专业.大数据开发经验.数仓建设经验
1-3年,本科,上海,青浦区,富绅国际,10,15K,数兑科技,Spark.Hadoop
10年以上,硕士,上海,杨浦区,五角场,30,60K·16薪,叠纸游戏,Spark.Hive.Scala.ETL开发经验
经验不限,硕士,上海,嘉定区,安亭,30,50K·14薪,NIO蔚来,大数据开发经验
5-10年,本科,上海,,,18,30K·13薪,旺旺集团,Hive.Spark.Kafka.大数据开发经验.数仓建设经验.ETL开发经验
1-3年,本科,上海,黄浦区,新天地,20,40K·16薪,小红书,大数据开发经验.数仓建设经验
3-5年,本科,上海,嘉定区,江桥,30,60K·15薪,奇瑞汽车,数据开发.大数据.Spark.Java.Flink
5-10年,本科,上海,杨浦区,东外滩,45,75K·16薪,得物App,Java.计算机相关专业.大数据开发经验
3-5年,本科,上海,静安区,市北工业园,15,30K·15薪,合合信息,Java.Python.SQL.计算机相关专业.数学/统计相关专业.大数据开发经验
5-10年,本科,上海,静安区,西藏北路,20,40K,探知数据,计算机相关专业.airflow
3-5年,本科,上海,杨浦区,江浦路,20,40K·13薪,安吉加加,数据处理.数据仓库.数据架构
3-5年,本科,上海,,,15,30K·13薪,枫菁科技,数据架构.Hive
3-5年,硕士,上海,静安区,南京西路,15,30K·18薪,申万宏源,数据开发.数据挖掘.SQL.Python
5-10年,本科,上海,虹口区,北外滩,18,30K,嗨普智能,Python.SQL.Spark.Hadoop
经验不限,本科,上海,闵行区,虹梅路,40,70K·15薪,北京字节跳动,Flink.Scala.Spark.HIVE.Hadoop.Kafka.Hbase
,本科,上海,浦东新区,陆家嘴,300,500元/天,蚂蚁金服,Spark.Hadoop
1-3年,本科,上海,浦东新区,张江,12,15K,上海北境,Hive.Spark.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,上海,静安区,南京西路,30,40K·13薪,数皆,Java.SQL
3-5年,本科,上海,黄浦区,城隍庙,30,50K,澳福派信息,Spark.Kafka.Hadoop
5-10年,本科,上海,宝山区,淞宝,15,16K,顺冠科技,数据开发.数据架构师.ETL.数据仓库.Spark.Kafka.Elasticsearch.Hive
3-5年,本科,上海,静安区,汶水路,20,30K·13薪,大润发,Java.Python.Spark.大数据开发经验
3-5年,本科,上海,嘉定区,安亭,30,50K·14薪,上汽集团,Shell.SQL.Scala.Hadoop.Streaming.Flink
3-5年,本科,上海,浦东新区,张江,20,35K,叮咚买菜,Python.Shell.SQL.Spark.Kafka.Flink
3-5年,本科,上海,闵行区,虹桥,20,40K·16薪,阿里巴巴,Java.Python.Shell.分布式技术.Hadoop.Spark.大数据.Yarn
1年以内,本科,上海,静安区,南京西路,4,6K,技容,数据仓库.数据开发.分布式技术.Spark.HIVE.Java.Hive
5-10年,本科,上海,,,30,60K,悦众信息技术有限公司,ETL.MySQL.数据仓库
5-10年,本科,上海,青浦区,青浦城区,35,55K·13薪,中通快递,Java.SQL.Kettle.Hadoop.Storm.Flink.MapReduce
,本科,上海,闵行区,虹桥,400,500元/天,字节跳动,Spark.Hadoop.Java.数据平台.大数据运维
,本科,上海,闵行区,虹梅路,200,240元/天,随训通电子,数仓建设经验.Hive.大数据开发经验.计算机相关专业.Python.SQL.24年毕业
1-3年,本科,上海,浦东新区,联洋,12,24K,阿里巴巴集团,Hive.Spark.Flink.计算机相关专业
3-5年,硕士,上海,浦东新区,迪士尼,20,40K,中国银联,Hadoop.Storm.HDFS.MapReduce.Flink
3-5年,本科,上海,浦东新区,金桥,13,15K·13薪,数策股份,数据仓库.ETL.数据挖掘
3-5年,大专,上海,浦东新区,张江,12,17K,鑫揽,Spark.大数据开发经验.数仓建设经验.数据治理.dataphin
3-5年,本科,上海,徐汇区,康健,15,30K,深圳彗亿科技电子,HIVE.Spark.Kafka.Flink
3-5年,本科,上海,松江区,荣乐中路,30,60K,尚硅谷,大数据运维
1-3年,本科,上海,徐汇区,龙华,15,30K·16薪,旭荣科技,Hive.Hadoop.Spark.Kafka.Flume.大数据
3-5年,本科,上海,徐汇区,徐家汇,15,20K·13薪,解螺旋,大数据.Python
3-5年,本科,上海,,,13,25K·13薪,物泊科技,Java.Python.SQL
3-5年,本科,上海,嘉定区,安亭,15,22K·13薪,上海众调信息科技,Hbase.大数据开发经验.数仓建设经验
在校/应届,本科,上海,浦东新区,金桥,20,40K·16薪,西安华为,Java.SQL.HIVE.Spark.Kafka.Hadoop.Yarn.Flink
1-3年,本科,上海,长宁区,中山公园,15,25K,邑邻科技,Java.C++.Python.计算机相关专业.数学/统计相关专业.留学生优先.英美留学生
5-10年,本科,上海,浦东新区,张江,15,22K,中软国际,Python.Spark.数仓建设经验.ETL开发经验
经验不限,博士,上海,静安区,彭浦镇,15,30K,宽带中心,Java.Hive.Flink.金融经验
5-10年,本科,上海,普陀区,长征,30,45K·14薪,夏晖,数据仓库
5-10年,本科,上海,青浦区,国家会展中心,20,40K,谦与谦,Java.Spark.Flink.数仓建设经验.大数据开发经验.ETL开发经验
3-5年,本科,上海,虹口区,四川北路,15,22K·13薪,迪颉信息科技,Java.Spark.Shell.大数据开发经验.数仓建设经验.培训经验.实训项目
3-5年,大专,上海,青浦区,青浦城区,18,35K·13薪,上海极兔,Java.Hive.Kafka.计算机相关专业.数学/统计相关专业.数仓建设经验
3-5年,本科,上海,闵行区,华漕,20,40K·16薪,永辉大科技,Java.Shell.Scala.Spark.Storm.Hadoop.Flink
5-10年,本科,上海,杨浦区,五角场,23,25K·13薪,网新恒天软件,Python.数据结构.HIVE.数据开发.Java.大数据.Flink.Clickhouse
3-5年,本科,上海,浦东新区,陆家嘴,19,35K,蚂蚁金服,大数据开发经验.Spark.Python.Sql.英语读写佳
3-5年,本科,上海,黄浦区,打浦桥,25,35K,上海浪洪信息,ETL.数据挖掘.Hive.Spark.Java
3-5年,本科,上海,青浦区,国家会展中心,15,30K·14薪,韵达快递,Java.Python.SQL.Scala.Hadoop.Flink.数据仓库.数据分析
3-5年,本科,上海,浦东新区,世纪公园,13,14K,数积科技,Kafka.Hbase.Flink
5-10年,本科,上海,浦东新区,金桥,13,20K,天阳科技,Hive.Spark.Shell.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,硕士,上海,奉贤区,南桥,13,25K,上海市新知进修学院,Spark.计算机相关专业.大数据开发经验.银行
1-3年,硕士,上海,静安区,天目西路,15,30K,栈略数据,Python.Java.Spark.Hadoop.Storm.Zookeeper
3-5年,本科,上海,徐汇区,漕河泾,20,40K·16薪,腾讯,Python.SQL.Hadoop.数据结构.pandas
经验不限,本科,上海,浦东新区,金桥,15,30K·15薪,华为,Java.分布式技术.Hadoop.Spark.HBase.大数据.云计算
5-10年,本科,上海,闵行区,华漕,20,30K·13薪,微码邓白氏,Java.Scala.JavaScript.ETL.数据分析.大数据.云计算.人工智能
